image,labelled_expression,detected_expression,time
1008,angry,angry,0.4682516000466421
1020,angry,happy,0.07421420002356172
1049,angry,fear,0.0625933000119403
1064,angry,fear,0.08331579994410276
1094,angry,sad,0.09458589996211231
1097,angry,sad,0.06904849992133677
1112,angry,fear,0.06434670009184629
1113,angry,angry,0.08728049998171628
1117,angry,disgust,0.08585979999043047
1118,angry,angry,0.06661760003771633
1128,angry,neutral,0.07384209998417646
1133,angry,sad,0.07045140000991523
1135,angry,fear,0.0692955000558868
120,angry,sad,0.06978050002362579
1222,angry,happy,0.0713282999349758
1231,angry,sad,0.07313199993222952
1233,angry,angry,0.0800557000329718
1236,angry,angry,0.07670720003079623
1238,angry,angry,0.08173279999755323
1302,angry,angry,0.08420209994073957
1319,angry,neutral,0.09185230010189116
1328,angry,happy,0.09606100001838058
1329,angry,neutral,0.08105519996024668
1333,angry,neutral,0.08677630010060966
1344,angry,angry,0.08187230001203716
1345,angry,angry,0.08161840005777776
1357,angry,sad,0.08890170010272413
1364,angry,angry,0.07654349994845688
1366,angry,happy,0.06743990001268685
1367,angry,sad,0.09303210000507534
137,angry,sad,0.0852360000135377
138,angry,fear,0.08965450001414865
1404,angry,angry,0.09393209998961538
1410,angry,happy,0.11585910001304
1420,angry,surprise,0.09625669999513775
1434,angry,neutral,0.12513939989730716
1435,angry,neutral,0.08702920004725456
1440,angry,sad,0.08413940004538745
1455,angry,fear,0.0926260999403894
1476,angry,fear,0.07680429995525628
1481,angry,angry,0.09839220007415861
1485,angry,disgust,0.08040040009655058
1492,angry,neutral,0.0794761999277398
1539,angry,sad,0.08078940003179014
1566,angry,neutral,0.09053460007999092
1567,angry,neutral,0.07751870003994554
1589,angry,happy,0.08353079995140433
15,angry,sad,0.07401490001939237
1627,angry,sad,0.07321329996921122
1628,angry,neutral,0.08710030000656843
1639,angry,neutral,0.08866369992028922
1656,angry,disgust,0.08741059992462397
1666,angry,neutral,0.09727859997656196
1698,angry,angry,0.11556449998170137
1735,angry,sad,0.09311080002225935
1742,angry,neutral,0.10300279990769923
1756,angry,fear,0.10113670001737773
1757,angry,neutral,0.07718909997493029
1758,angry,neutral,0.09527209994848818
176,angry,angry,0.07618009997531772
1771,angry,sad,0.05569800001103431
1782,angry,neutral,0.09329460002481937
1783,angry,neutral,0.08390469988808036
1800,angry,happy,0.09498809999786317
1802,angry,fear,0.0880580999655649
1814,angry,angry,0.09680980001576245
1816,angry,sad,0.08849529991857708
1860,angry,angry,0.0911415999289602
1863,angry,neutral,0.07410539989359677
1880,angry,sad,0.06756490003317595
1900,angry,sad,0.09423869999591261
1917,angry,sad,0.0910673999460414
1921,angry,fear,0.09003690001554787
1927,angry,sad,0.10336930002085865
1932,angry,neutral,0.09684360004030168
1934,angry,sad,0.09379459999036044
1961,angry,disgust,0.08489779999945313
199,angry,neutral,0.09324990003369749
2001,angry,sad,0.0773922000080347
2014,angry,fear,0.05330810009036213
2031,angry,neutral,0.055731500033289194
2034,angry,sad,0.11513859999831766
2047,angry,angry,0.07794509991072118
2058,angry,angry,0.09177359996829182
2077,angry,angry,0.09554150002077222
207,angry,sad,0.08515380008611828
2088,angry,angry,0.08471159997861832
2090,angry,angry,0.09373279998544604
