image,labelled_expression,detected_expression,time
4289,angry,sad,2.182861530000082
3246,angry,angry,0.21639878499991028
4676,angry,angry,0.18715297300013845
2893,angry,angry,0.18971737600031702
2976,angry,angry,0.22900753999965673
4403,angry,neutral,0.24572455999987142
1128,angry,neutral,0.21658458199999586
4380,angry,happy,0.1887580379998326
4229,angry,sad,0.23205059499969138
2540,angry,happy,0.21129445999986274
4969,angry,sad,0.21809312699997463
1927,angry,sad,0.22140631299998859
2014,angry,fear,0.199545708000187
8,angry,sad,0.22325645299997632
650,angry,neutral,0.18812194099973567
1117,angry,disgust,0.21728978900000584
5067,angry,sad,0.19040893499959566
3882,angry,sad,0.2150540360003106
5101,angry,angry,0.18314091299998836
4699,angry,sad,0.22042810299990379
1627,angry,sad,0.24213139099992986
3324,angry,neutral,0.22725443800027278
929,angry,angry,0.21203783400005705
3821,angry,angry,0.1825970579998284
4486,angry,neutral,0.18753834499966615
3818,angry,fear,0.23548552099964581
1434,angry,neutral,0.22950309799989554
5230,angry,happy,0.2234627120001278
5096,angry,angry,0.2503691040001286
569,angry,angry,0.18989215499959755
5492,angry,sad,0.22899716900019484
3152,angry,fear,0.21259172500003842
588,angry,angry,0.20677839700010736
2438,angry,angry,0.20321552499990503
5219,angry,neutral,0.18566707499985569
423,angry,fear,0.2298724890001722
576,angry,happy,0.20176023900012297
3885,angry,angry,0.23010806399997819
5107,angry,sad,0.22803173800002696
1333,angry,neutral,0.21850209200010795
3093,angry,fear,0.233056784999917
1921,angry,fear,0.22794429299983676
5356,angry,neutral,0.22483597900009045
967,angry,angry,0.23166775800018513
3191,angry,sad,0.2191060949999155
2593,angry,sad,0.23236566900004618
3487,angry,neutral,0.18786043899990545
1008,angry,angry,0.21758097500014628
3260,angry,angry,0.18919746399978976
336,angry,sad,0.23418849400013642
1319,angry,neutral,0.23605080100014675
1049,angry,fear,0.2044654750002337
2999,angry,neutral,0.2540034939997895
5384,angry,disgust,0.23489103500014608
3858,angry,sad,0.22184414699995614
2533,angry,neutral,0.1879607720002241
2830,angry,angry,0.23361363900039578
61,angry,happy,0.18165910800007623
1366,angry,happy,0.2283162200001243
3986,angry,neutral,0.19416527000021233
873,angry,fear,0.2548008859998845
2560,angry,fear,0.19371145200011597
2707,angry,neutral,0.19296872599989
996,angry,fear,0.19543140599989783
3406,angry,disgust,0.2339136589998816
3162,angry,sad,0.23672095200026888
3279,angry,neutral,0.19439640099972166
4264,angry,neutral,0.2362386160002643
718,angry,disgust,0.24661098900014622
4072,angry,angry,0.23822083000004568
4849,angry,neutral,0.2206751029998486
3296,angry,sad,0.21499757099991257
963,angry,angry,0.21663098699991679
5364,angry,angry,0.19609833599997728
2139,angry,angry,0.2187683509996532
830,angry,neutral,0.19809953200001473
4282,angry,angry,0.21069952799962266
