image,labelled_fex,detected_fex,time
1008,angry,angry,0.8456764000002295
1020,angry,happy,0.07166159999906085
1049,angry,fear,0.07428349999827333
1064,angry,fear,0.08194519999960903
1094,angry,sad,0.08456180000212044
1097,angry,sad,0.06619720000162488
1112,angry,fear,0.07820180000271648
1113,angry,angry,0.07773769999766955
1117,angry,disgust,0.0886192000034498
1118,angry,angry,0.06393820000084816
1128,angry,neutral,0.0826764999947045
1133,angry,sad,0.08074730000225827
1135,angry,fear,0.06739699999889126
120,angry,sad,0.08226659999490948
1222,angry,happy,0.06755700000212528
1231,angry,sad,0.08219839999946998
1233,angry,angry,0.07769459999690298
1236,angry,angry,0.07050400000298396
1238,angry,angry,0.07855859999835957
1302,angry,angry,0.09537229999841657
1319,angry,neutral,0.0985447999992175
1328,angry,happy,0.0915136999974493
1329,angry,neutral,0.08038329999544658
1333,angry,neutral,0.076891999997315
1344,angry,angry,0.08313039999484317
1345,angry,angry,0.08208240000385558
1357,angry,sad,0.09320239999942714
1364,angry,angry,0.06568770000012591
1366,angry,happy,0.08247410000331001
1367,angry,sad,0.08009560000209603
137,angry,sad,0.07602079999924172
138,angry,fear,0.0830638999977964
1404,angry,angry,0.09086730000126408
1410,angry,happy,0.07938840000133496
1420,angry,surprise,0.08877750000101514
1434,angry,neutral,0.08581089999643154
1435,angry,neutral,0.0807176000016625
1440,angry,sad,0.07858049999776995
1455,angry,fear,0.08415170000080252
1476,angry,fear,0.06661170000006678
1481,angry,angry,0.09158919999754289
1485,angry,disgust,0.08086240000557154
1492,angry,neutral,0.06690140000137035
1539,angry,sad,0.07367140000133077
1566,angry,neutral,0.08740039999975124
1567,angry,neutral,0.06648039999708999
1589,angry,happy,0.07583590000285767
15,angry,sad,0.06706510000367416
1627,angry,sad,0.08877849999407772
1628,angry,neutral,0.07658110000193119
1639,angry,neutral,0.08512080000218702
1656,angry,disgust,0.08064599999488564
1666,angry,neutral,0.08997639999870444
1698,angry,angry,0.08279150000453228
1735,angry,sad,0.08747410000069067
1742,angry,neutral,0.09889409999595955
1756,angry,fear,0.08922370000072988
1757,angry,neutral,0.064777800005686
1758,angry,neutral,0.08919299999979557
176,angry,angry,0.06675250000262167
1771,angry,sad,0.06902549999358598
1782,angry,neutral,0.08611080000264337
1783,angry,neutral,0.07921099999657599
1800,angry,happy,0.0883112000010442
1802,angry,fear,0.0819883000003756
1814,angry,angry,0.08434219999617198
1816,angry,sad,0.08304650000354741
1860,angry,angry,0.08514329999889014
1863,angry,neutral,0.062215699996158946
1880,angry,sad,0.08054769999580458
1900,angry,sad,0.08521390000532847
1917,angry,sad,0.08782679999421816
1921,angry,fear,0.08145630000217352
1927,angry,sad,0.07977029999892693
1932,angry,neutral,0.08776520000537857
1934,angry,sad,0.08900580000045011
1961,angry,disgust,0.07519350000075065
199,angry,neutral,0.08857580000039889
2001,angry,sad,0.0658737999983714
2014,angry,fear,0.06548320000001695
2031,angry,neutral,0.07627500000671716
2034,angry,sad,0.09214000000065425
2047,angry,angry,0.0670715999949607
2058,angry,angry,0.07677469999907771
2077,angry,angry,0.08685870000044815
207,angry,sad,0.07611249999899883
2088,angry,angry,0.07615440000517992
2090,angry,angry,0.08731260000058683
2093,angry,fear,0.08219629999803146
2102,angry,sad,0.06707309999910649
2139,angry,angry,0.07916210000257706
2149,angry,neutral,0.06572739999683108
2158,angry,fear,0.0764326999997138
2175,angry,angry,0.08351989999937359
2183,angry,fear,0.09281760000158101
2202,angry,sad,0.07475539999722969
2214,angry,angry,0.08648810000158846
2228,angry,neutral,0.08146280000073602
2245,angry,sad,0.06922349999513244
2246,angry,angry,0.06619800000044052
2260,angry,sad,0.06417269999656128
2286,angry,sad,0.08269789999758359
2305,angry,angry,0.07849250000435859
2308,angry,angry,0.06285440000647213
230,angry,neutral,0.08152789999439847
2310,angry,neutral,0.07694430000265129
231,angry,angry,0.08002960000158055
2334,angry,sad,0.07001470000250265
2335,angry,neutral,0.08572789999743691
2336,angry,neutral,0.0960103000033996
2338,angry,sad,0.07904479999706382
2339,angry,fear,0.08689579999918351
2342,angry,happy,0.08676580000610556
2358,angry,sad,0.09017830000084359
2359,angry,fear,0.07737169999745674
2360,angry,sad,0.08422660000360338
2367,angry,neutral,0.07167420000041602
2382,angry,fear,0.08451520000380697
2386,angry,sad,0.06705679999868153
2389,angry,angry,0.08256489999621408
2402,angry,sad,0.06682840000576107
2408,angry,surprise,0.07033450000017183
2421,angry,angry,0.06556309999723453
2429,angry,fear,0.08412179999868385
242,angry,angry,0.0786186000041198
2435,angry,happy,0.08276509999996051
2438,angry,angry,0.07452639999974053
243,angry,sad,0.06698640000104206
2442,angry,sad,0.08459550000407035
2451,angry,angry,0.08503930000006221
2495,angry,sad,0.0676134999957867
2499,angry,neutral,0.0798754999996163
2509,angry,disgust,0.06940259999828413
2516,angry,angry,0.08207970000512432
2533,angry,neutral,0.07096889999957057
2537,angry,angry,0.0791326000035042
2540,angry,happy,0.08023250000405824
2549,angry,fear,0.07988250000198605
2555,angry,fear,0.08160730000236072
2560,angry,fear,0.06590729999879841
2570,angry,neutral,0.08371179999812739
2585,angry,angry,0.09209990000090329
2591,angry,fear,0.06703640000341693
2592,angry,fear,0.09176180000213208
2593,angry,sad,0.08827259999816306
2600,angry,disgust,0.0820093000002089
2605,angry,neutral,0.08453220000228612
2608,angry,sad,0.077827500004787
2610,angry,sad,0.0782757000051788
2612,angry,neutral,0.08252080000238493
2617,angry,neutral,0.08891560000483878
2618,angry,angry,0.08223420000285842
2620,angry,neutral,0.0974119000020437
2624,angry,angry,0.0677983999994467
2631,angry,angry,0.07117709999874933
2639,angry,fear,0.07587359999888577
2670,angry,fear,0.08258700000442332
2679,angry,neutral,0.0825946000040858
2707,angry,neutral,0.06587969999964116
270,angry,fear,0.06747889999678591
2731,angry,angry,0.08562669999810169
2737,angry,angry,0.08579450000252109
273,angry,happy,0.08702759999869158
2750,angry,angry,0.06847770000604214
2759,angry,angry,0.06688690000009956
2762,angry,neutral,0.1005767000024207
2768,angry,neutral,0.06599439999990864
2777,angry,happy,0.06514819999574684
2785,angry,fear,0.08029330000135815
278,angry,sad,0.06626819999655709
2792,angry,sad,0.08750289999443339
2797,angry,sad,0.09021770000254037
281,angry,angry,0.06964679999509826
2823,angry,neutral,0.07738099999551196
2825,angry,neutral,0.06672850000177277
2830,angry,angry,0.08169300000008661
2861,angry,surprise,0.08905009999580216
2884,angry,angry,0.06830769999942277
2888,angry,fear,0.06680270000651944
2889,angry,neutral,0.08462759999383707
2892,angry,neutral,0.08444549999694573
2893,angry,angry,0.06881129999965196
2894,angry,angry,0.09385180000390392
2915,angry,neutral,0.08047249999799533
2916,angry,angry,0.07935539999743924
2966,angry,fear,0.08238870000059251
2976,angry,angry,0.08092770000075689
2999,angry,neutral,0.08305159999872558
3002,angry,surprise,0.08414800000173273
3022,angry,happy,0.06728619999921648
3024,angry,fear,0.08671400000457652
3035,angry,neutral,0.09420360000513028
3040,angry,neutral,0.08591770000202814
3044,angry,neutral,0.06984920000104466
304,angry,sad,0.06607700000313343
3059,angry,sad,0.08490220000385307
3064,angry,sad,0.08382280000660103
3091,angry,fear,0.07837129999825265
3092,angry,angry,0.0834030999976676
3093,angry,fear,0.08826229999976931
3096,angry,neutral,0.06531070000346517
3107,angry,neutral,0.09129989999928512
3111,angry,happy,0.07657299999846146
3122,angry,angry,0.08586189999914495
3138,angry,neutral,0.08735710000473773
3152,angry,fear,0.082268699996348
3162,angry,sad,0.08825509999587666
3177,angry,angry,0.07454770000185817
317,angry,angry,0.0863584999970044
3186,angry,angry,0.07855890000064392
3191,angry,sad,0.06684800000221003
3192,angry,neutral,0.08141369999793824
3194,angry,angry,0.08335810000426136
3198,angry,angry,0.06542089999857126
3213,angry,angry,0.06795889999921201
3215,angry,neutral,0.07284229999640957
3229,angry,neutral,0.19101729999965755
3245,angry,happy,0.08042849999765167
3246,angry,angry,0.07915440000215312
3260,angry,angry,0.06530650000058813
3269,angry,neutral,0.0853482000020449
3279,angry,neutral,0.06571010000334354
3296,angry,sad,0.07739739999669837
3305,angry,angry,0.07939520000218181
3307,angry,angry,0.07773699999961536
3318,angry,sad,0.08608939999976428
3324,angry,neutral,0.08830710000620456
332,angry,happy,0.08429650000471156
3330,angry,angry,0.08313349999662023
3339,angry,neutral,0.08709719999751542
3349,angry,fear,0.08385810000618221
