image,labelled_expression,detected_expression,time
3709,angry,angry,3.718543177000015
3757,angry,neutral,0.10192131499997004
2001,angry,sad,0.07308108499995569
2915,angry,neutral,0.09088374399999566
3194,angry,angry,0.09338077900002872
2442,angry,sad,0.09257401799999343
273,angry,happy,0.10115217899999607
3191,angry,sad,0.07217990999998847
4958,angry,sad,0.09723830000001499
5384,angry,disgust,0.09887929400002804
4898,angry,neutral,0.10240061199999673
3111,angry,happy,0.08987352299999429
3215,angry,neutral,0.07835637400000905
4729,angry,happy,0.07306591499997239
1097,angry,sad,0.07362627999998494
138,angry,fear,0.09607222700003604
3818,angry,fear,0.10968685599999617
718,angry,disgust,0.09829079600001478
5096,angry,angry,0.09758207300001231
1771,angry,sad,0.07838387499998589
3847,angry,happy,0.09113044899999068
1367,angry,sad,0.09194440300001361
231,angry,angry,0.09247515499998826
2560,angry,fear,0.0705822459999581
1231,angry,sad,0.09873468399996455
2034,angry,sad,0.10486086200000955
4788,angry,neutral,0.09856892900000958
2058,angry,angry,0.09026895900001364
1900,angry,sad,0.09888215800003763
2088,angry,angry,0.0899179919999824
5364,angry,angry,0.07279649399998789
412,angry,angry,0.09845374299999321
1113,angry,angry,0.09616907800000263
270,angry,fear,0.07714910600003577
4969,angry,sad,0.09660605700003089
2246,angry,angry,0.07463594600000079
3092,angry,angry,0.09567886499996803
3395,angry,fear,0.08972297899998694
919,angry,sad,0.078574212000035
3138,angry,neutral,0.08765219599996499
940,angry,angry,0.09821875500000488
576,angry,happy,0.06872415400005139
901,angry,fear,0.07799480900001754
886,angry,sad,0.09269297399998777
4487,angry,angry,0.09224738400001797
608,angry,fear,0.0965275140000017
1435,angry,neutral,0.08809104300001991
4849,angry,neutral,0.09651880800004164
4938,angry,angry,0.07866911100001062
5210,angry,angry,0.09333803299995225
654,angry,angry,0.08954828299999917
3530,angry,sad,0.10946093499995868
2090,angry,angry,0.09868237900002441
4067,angry,angry,0.07844402200004197
3451,angry,angry,0.10602577599996721
1319,angry,neutral,0.1155473150000148
4072,angry,angry,0.12229700099999263
5120,angry,neutral,0.07704947999997103
2892,angry,neutral,0.10077017800000476
2429,angry,fear,0.09884059299997716
3738,angry,fear,0.09202625199998238
1238,angry,angry,0.10064202099999875
5351,angry,neutral,0.09766762499998549
5347,angry,fear,0.10964928800001417
4915,angry,angry,0.1071276729999795
4380,angry,happy,0.08302675099997714
1329,angry,neutral,0.09228503299999602
3813,angry,neutral,0.0755907079999929
4100,angry,sad,0.07627514299997529
4007,angry,sad,0.09255260500003715
4580,angry,angry,0.09583227100000613
4302,angry,sad,0.10403113000000985
4521,angry,sad,0.09764200899996922
4901,angry,angry,0.11922351300000855
5316,angry,sad,0.11704364899998154
4164,angry,angry,0.12380835600004048
2624,angry,angry,0.08040220800000952
966,angry,fear,0.09965620399998443
1133,angry,sad,0.09795851500001618
890,angry,angry,0.10540391099999624
2389,angry,angry,0.1300489349999907
967,angry,angry,0.13218031600001723
5465,angry,fear,0.11176038600001448
4973,angry,fear,0.09258109799998238
4214,angry,fear,0.10709788900004469
453,angry,angry,0.10789049099997783
3991,angry,angry,0.09779772499996398
1049,angry,fear,0.11355086499997924
4122,angry,fear,0.11776070899998103
3064,angry,sad,0.10081195700001899
3091,angry,fear,0.10402573899995105
2737,angry,angry,0.0970377419999977
1485,angry,disgust,0.09467907800001285
230,angry,neutral,0.09849277099999654
3487,angry,neutral,0.07189410900002713
3646,angry,neutral,0.07991309300001603
4289,angry,sad,0.08152793400000746
2342,angry,happy,0.10029924100001608
1128,angry,neutral,0.09962704600002326
1233,angry,angry,0.08808172200002673
3245,angry,happy,0.11260058499999559
715,angry,surprise,0.09821102600000131
1118,angry,angry,0.07603443400000742
2158,angry,fear,0.08634582900003807
3885,angry,angry,0.1056864000000246
3059,angry,sad,0.10905174399999851
4115,angry,sad,0.11991397299999562
740,angry,sad,0.12236844000000247
3765,angry,angry,0.08029267799997797
1328,angry,happy,0.11070501899996543
532,angry,happy,0.07854853100002401
5082,angry,neutral,0.10192386699998224
3830,angry,neutral,0.09915110899999036
3591,angry,sad,0.10331817000002275
4429,angry,angry,0.09673684399996318
4209,angry,angry,0.08528176800001575
1333,angry,neutral,0.0941394360000345
4291,angry,sad,0.10269415900000922
549,angry,fear,0.09116419600002246
3792,angry,neutral,0.09602272600000106
386,angry,fear,0.1086852340000064
4229,angry,sad,0.10425243399998863
