,Imagem,FEX-esperada,FEX-detectada,time
0,1008,angry,angry,0.5027820999999904
1,1020,angry,angry,0.5138795999999957
2,1049,angry,sad,0.5291614000000209
3,1064,angry,disgust,0.44793240000001333
4,1094,angry,neutral,0.5052962000000321
5,1097,angry,angry,0.5087374000000295
6,1112,angry,angry,0.4592074999999909
7,1113,angry,neutral,0.4859612999999854
8,1117,angry,angry,0.4905618999999888
9,1118,angry,angry,0.4569652000000133
10,1128,angry,angry,0.4613074000000097
11,1133,angry,angry,0.5156972000000337
12,1135,angry,fear,0.4890000999999984
13,120,angry,angry,0.4836854999999787
14,1222,angry,angry,0.4655420999999933
15,1231,angry,neutral,0.5043843999999922
16,1233,angry,angry,0.49916959999995925
17,1236,angry,angry,0.4839011000000255
18,1238,angry,sad,0.4973679999999945
19,1302,angry,disgust,0.46309980000000905
20,1319,angry,neutral,0.4773788999999624
21,1328,angry,angry,0.47841809999999896
22,1329,angry,neutral,0.46759610000003704
23,1333,angry,angry,0.48755299999999124
24,1344,angry,angry,0.47702639999999974
25,1345,angry,angry,0.44651229999999487
26,1357,angry,angry,0.5191580000000044
27,1364,angry,angry,0.5342062000000283
28,1366,angry,angry,0.4807480000000055
29,1367,angry,neutral,0.45264470000000756
30,137,angry,angry,0.4080915000000118
31,138,angry,angry,0.4436297999999965
32,1404,angry,angry,0.3549967999999808
33,1410,angry,surprise,0.5478888000000097
34,1420,angry,fear,0.4050969000000464
35,1434,angry,angry,0.4527520999999979
36,1435,angry,neutral,0.43755709999999226
37,1440,angry,angry,0.3610879999999952
38,1455,angry,angry,0.4554344999999671
39,1476,angry,surprise,0.3422849000000383
40,1481,angry,neutral,0.4558716999999888
41,1485,angry,angry,0.39743279999999004
42,1492,angry,fear,0.41197539999996025
43,1539,angry,angry,0.45330819999998084
44,1566,angry,angry,0.388756600000022
45,1567,angry,neutral,0.3894063999999844
46,1589,angry,sad,0.4051013999999782
47,15,angry,angry,0.4002360000000067
48,1627,angry,angry,0.4279514000000404
49,1628,angry,angry,0.3692110999999727
50,1639,angry,angry,0.42577059999996436
51,1656,angry,disgust,0.47611110000002554
52,1666,angry,surprise,0.4231074999999578
53,1698,angry,angry,0.39609799999999495
54,1735,angry,angry,0.3799386000000027
55,1742,angry,angry,0.45316259999998465
56,1756,angry,angry,0.35246899999998504
57,1757,angry,angry,0.40361339999998336
58,1758,angry,angry,0.4199964999999679
59,176,angry,angry,0.3992724000000294
60,1771,angry,sad,0.4015335999999934
61,1782,angry,neutral,0.38567969999996876
62,1783,angry,disgust,0.43693229999996674
63,1800,angry,surprise,0.40479709999999614
64,1802,angry,angry,0.366132299999947
65,1814,angry,angry,0.4548533000000248
66,1816,angry,neutral,0.46852479999995467
67,1860,angry,angry,0.5318072999999686
68,1863,angry,neutral,0.47328290000001516
69,1880,angry,disgust,0.4650953999999956
70,1900,angry,angry,0.46082680000000664
71,1917,angry,angry,0.49912540000002537
72,1921,angry,disgust,0.4822208999999589
73,1927,angry,angry,0.5032105999999885
74,1932,angry,angry,0.48749659999998585
75,1934,angry,angry,0.4912120999999843
76,1961,angry,angry,0.45156769999999824
77,199,angry,neutral,0.4875956000000201
78,2001,angry,angry,0.44927269999999453
79,2014,angry,angry,0.4640267999999992
80,2031,angry,angry,0.466532299999983
81,2034,angry,angry,0.4560449999999605
82,2047,angry,sad,0.45057410000003983
83,2058,angry,angry,0.4507649000000242
84,2077,angry,angry,0.5368523000000209
85,207,angry,angry,0.4547094000000129
86,2088,angry,angry,0.45441970000001675
87,2090,angry,fear,0.493824600000039
88,2093,angry,angry,0.5054642000000058
89,2102,angry,angry,0.44884280000002263
90,2139,angry,angry,0.45601139999996576
91,2149,angry,angry,0.49063879999999926
92,2158,angry,angry,0.5080767000000037
93,2175,angry,angry,0.4973526999999649
94,2183,angry,neutral,0.47357619999996814
95,2202,angry,angry,0.45230149999997593
96,2214,angry,angry,0.4776322000000164
97,2228,angry,neutral,0.5158551999999759
98,2245,angry,disgust,0.48414739999998346
99,2246,angry,angry,0.4523538000000258
100,2260,angry,disgust,0.4720804999999473
101,2286,angry,disgust,0.5372474000000125
102,2305,angry,disgust,0.541891000000021
103,2308,angry,angry,0.45915989999997464
104,230,angry,angry,0.3632765000000404
105,2310,angry,angry,0.40746689999997443
106,231,angry,angry,0.4078142999999841
107,2334,angry,sad,0.37738100000001396
108,2335,angry,neutral,0.42963179999998147
109,2336,angry,neutral,0.3665316999999959
110,2338,angry,sad,0.40731869999996206
111,2339,angry,angry,0.4279166000000032
112,2342,angry,angry,0.37635749999998325
113,2358,angry,neutral,0.50898380000001
