,Imagem,FEX-esperada,FEX-detectada,time
0,3709,angry,angry,0.6140470660000119
1,3757,angry,angry,0.5043358849999322
2,2001,angry,angry,0.5059446460001027
3,2915,angry,sad,0.5066671160000169
4,3194,angry,angry,0.5063419299999623
5,2442,angry,disgust,0.5046293609999566
6,273,angry,angry,0.5035252190000392
7,3191,angry,angry,0.5038977479999858
8,4958,angry,angry,0.507614502000024
9,5384,angry,angry,0.5077920429999949
10,4898,angry,angry,0.5101827700000285
11,3111,angry,happy,0.5457341800000677
12,3215,angry,neutral,0.5049908790000472
13,4729,angry,happy,0.5023777229999951
14,1097,angry,angry,0.5223718600000211
15,138,angry,angry,0.504091424999956
16,3818,angry,angry,0.5045263890000342
17,718,angry,sad,0.5050807549999945
18,5096,angry,angry,0.5081358180000279
19,1771,angry,sad,0.5071144999999433
20,3847,angry,angry,0.5052342000000181
21,1367,angry,neutral,0.5057514529999025
22,231,angry,angry,0.5058882960000801
23,2560,angry,sad,0.5062320709999995
24,1231,angry,neutral,0.5068611780000083
25,2034,angry,angry,0.505747518000021
26,4788,angry,neutral,0.505615161000037
27,2058,angry,angry,0.5040628220000372
28,1900,angry,angry,0.5056349660000024
29,2088,angry,angry,0.5069441990000314
30,5364,angry,angry,0.5107399650000843
31,412,angry,angry,0.5054134120000526
32,1113,angry,neutral,0.5059017540000923
33,270,angry,neutral,0.5306177260000595
34,4969,angry,angry,0.5261890210000502
35,2246,angry,angry,0.5060560480000049
36,3092,angry,angry,0.506985353999994
37,3395,angry,angry,0.505785506000052
38,919,angry,angry,0.5076959660000284
39,3138,angry,angry,0.5066767280000022
40,940,angry,angry,0.5061715010000398
41,576,angry,surprise,0.5064392649999263
42,901,angry,angry,0.506313060000025
43,886,angry,angry,0.5069731980000824
44,4487,angry,disgust,0.5079215819999945
45,608,angry,angry,0.5104861160000382
46,1435,angry,neutral,0.5062557899999547
47,4849,angry,neutral,0.5059101690000034
48,4938,angry,angry,0.5050286469999037
49,5210,angry,disgust,0.506297485999994
50,654,angry,angry,0.5065224160000525
51,3530,angry,angry,0.5076326370000288
52,2090,angry,fear,0.5067582399999537
53,4067,angry,disgust,0.5346276579999767
54,3451,angry,disgust,0.5068037569999433
55,1319,angry,neutral,0.5076170250000587
56,4072,angry,angry,0.5061322709999558
57,5120,angry,neutral,0.5062458250000645
58,2892,angry,neutral,0.5072962639999332
59,2429,angry,angry,0.5053121180000062
60,3738,angry,angry,0.5072136490000503
61,1238,angry,sad,0.5062415090000059
62,5351,angry,angry,0.5076456059999828
63,5347,angry,sad,0.5072659449999719
64,4915,angry,angry,0.5079534550000062
65,4380,angry,happy,0.5081466720000662
66,1329,angry,neutral,0.506274001999941
67,3813,angry,sad,0.5058125999998992
68,4100,angry,angry,0.5054940249999618
69,4007,angry,neutral,0.5077117660000567
70,4580,angry,angry,0.5094664039999088
71,4302,angry,neutral,0.5062948400000096
72,4521,angry,sad,0.5071315540000114
73,4901,angry,angry,0.5263747180000564
74,5316,angry,angry,0.5072625739999239
75,4164,angry,angry,0.5037343579999742
76,2624,angry,angry,0.5060647530000324
77,966,angry,neutral,0.5060020519999853
78,1133,angry,angry,0.5060662350000484
79,890,angry,angry,0.506356510000046
80,2389,angry,angry,0.5072807199999261
81,967,angry,angry,0.5050153880000607
82,5465,angry,angry,0.505929970000011
83,4973,angry,angry,0.5069402670000045
84,4214,angry,neutral,0.5069822660000227
85,453,angry,angry,0.5076794400000608
86,3991,angry,angry,0.5091400830000339
87,1049,angry,sad,0.5053860369999938
88,4122,angry,angry,0.5064213110000537
89,3064,angry,angry,0.5063292159999264
90,3091,angry,angry,0.5072246659999564
91,2737,angry,angry,0.5062981900000523
92,1485,angry,angry,0.5135309040000493
93,230,angry,angry,0.5188861069999575
94,3487,angry,angry,0.5066293449999648
95,3646,angry,angry,0.507536296000012
96,4289,angry,angry,0.5081438800000342
97,2342,angry,angry,0.506714493000004
98,1128,angry,angry,0.5082491819999859
99,1233,angry,angry,0.5063199500000337
100,3245,angry,disgust,0.504974127999958
101,715,angry,surprise,0.5062994209999943
102,1118,angry,angry,0.5059774170000537
103,2158,angry,angry,0.5071035400000028
104,3885,angry,angry,0.5077602100000149
105,3059,angry,sad,0.5058155860000397
106,4115,angry,angry,0.5187240369999699
107,740,angry,angry,0.5170573510000622
108,3765,angry,angry,0.5069760569999744
109,1328,angry,angry,0.5061764019999373
110,532,angry,angry,0.5089627460000656
111,5082,angry,angry,0.5076972620000788
112,3830,angry,angry,0.5274825640000245
113,3591,angry,sad,0.5069390859999885
114,4429,angry,angry,0.5050237409999454
115,4209,angry,disgust,0.50628894700003
116,1333,angry,angry,0.5081118479999986
117,4291,angry,happy,0.5059042929999578
118,549,angry,disgust,0.5195470249999516
119,3792,angry,angry,0.5056071870000096
120,386,angry,disgust,0.5068239659999563
121,4229,angry,neutral,0.5062534180000284
122,1783,angry,disgust,0.5072884719999138
123,2047,angry,sad,0.5070458220000091
124,963,angry,disgust,0.5085811120000017
125,4237,angry,angry,0.5075044210000215
126,3633,angry,sad,0.5083502180000323
127,980,angry,angry,0.5086219590000383
128,2825,angry,neutral,0.5057490619999498
129,599,angry,surprise,0.507132011000067
130,3401,angry,neutral,0.5061569499999905
131,3152,angry,angry,0.5084404229999109
132,3461,angry,angry,0.5264214359999642
133,1735,angry,angry,0.5072274849999303
134,3424,angry,angry,0.5053934620000291
135,542,angry,surprise,0.5068032539999194
136,207,angry,angry,0.5082559009999841
137,5151,angry,angry,0.5072875600000089
138,2438,angry,neutral,0.5072794059999524
139,4896,angry,angry,0.5084076570000207
140,4014,angry,angry,0.5065177629999198
141,929,angry,angry,0.5068979270000682
142,2976,angry,angry,0.5065241480000395
143,3479,angry,angry,0.5079082990000643
144,2585,angry,angry,0.5090315359999522
145,2308,angry,angry,0.5081225809999523
146,5169,angry,angry,0.5084456390000014
147,4058,angry,angry,0.5106214919999275
148,2592,angry,disgust,0.5064792130000342
149,846,angry,angry,0.5115263090000326
150,4432,angry,angry,0.5068908169999986
151,870,angry,neutral,0.5272601899999927
152,4033,angry,sad,0.5065802729999405
153,3882,angry,fear,0.5062193609999213
154,3953,angry,angry,0.5064611560000003
155,1656,angry,disgust,0.5104338579999421
156,3330,angry,angry,0.5115438870000162
157,3811,angry,angry,0.50741777799999
158,5372,angry,angry,0.5068281489999436
159,4779,angry,angry,0.508611313000074
160,1627,angry,angry,0.5072656720000168
161,4127,angry,angry,0.5055519940000295
162,1410,angry,surprise,0.5070422830000325
163,4890,angry,angry,0.5091281250000748
164,1814,angry,angry,0.6792140249999647
165,3035,angry,angry,0.7995203100000481
166,708,angry,sad,0.749396071000092
167,2402,angry,surprise,0.7262133619999531
168,2533,angry,neutral,0.6911714999999958
169,3093,angry,angry,0.8285063640000772
170,4486,angry,angry,0.7772980619999998
171,1589,angry,sad,0.7414140129999396
172,1302,angry,disgust,0.5800877320000382
173,804,angry,angry,0.7256871110000702
174,1117,angry,angry,0.785676857999988
175,3753,angry,angry,0.8637046280000504
176,2768,angry,angry,0.8758831919999466
177,1860,angry,angry,0.82209259199999
178,3260,angry,sad,0.8296042509999779
179,3416,angry,sad,0.7929074270000456
180,541,angry,angry,0.7857218130000092
181,3296,angry,sad,0.7934287389999781
182,407,angry,sad,0.7772019550000095
183,996,angry,angry,0.755482422
184,2884,angry,angry,0.7001807699999745
185,380,angry,angry,0.7117627579999635
186,864,angry,angry,0.7967681310000216
187,243,angry,angry,0.7855297620000101
188,2360,angry,angry,0.7794474099999888
189,3732,angry,angry,0.7541290689999869
190,1455,angry,angry,0.5134568129999479
191,5221,angry,angry,0.5446057520000522
192,281,angry,angry,0.5066560720000552
193,3022,angry,angry,0.5048856140000453
194,4029,angry,angry,0.5057509410000876
195,3986,angry,sad,0.5113238820000561
196,1364,angry,angry,0.5049317670000164
197,2631,angry,angry,0.5289314259999855
198,2202,angry,angry,0.5051990209999531
199,3405,angry,angry,0.5053956419999395
200,5080,angry,angry,0.5059266030000344
201,2591,angry,angry,0.5067882740000869
202,4264,angry,angry,0.505768675000013
203,4171,angry,angry,0.5052187399999184
204,4381,angry,angry,0.5067526959999213
205,1758,angry,angry,0.5055471599999919
206,5492,angry,angry,0.5063530009999795
207,4415,angry,angry,0.5057005780000736
208,1932,angry,angry,0.5051384489999009
209,3229,angry,angry,0.5049057349999657
210,527,angry,neutral,0.5064763750000338
211,5434,angry,neutral,0.5053630890000704
212,2077,angry,angry,0.5054780169999731
213,1927,angry,angry,0.5169378909999978
214,2600,angry,angry,0.5068350929999497
215,1440,angry,angry,0.5039948950000053
216,1782,angry,neutral,0.5044287499999882
217,3618,angry,neutral,0.5298487630000182
218,2861,angry,fear,0.5070290989999648
219,5490,angry,disgust,0.5067085859999452
220,2435,angry,angry,0.5082496339999807
221,690,angry,neutral,0.507695904000002
222,2762,angry,angry,0.5058801259999655
