name,detectedFex,time
S054_004_00000001,neutral,0.5090013980006916
S054_004_00000022,angry,0.48818726900026377
S054_004_00000023,angry,0.48738435299947014
S054_004_00000024,angry,0.4915105840000251
S054_002_00000001,neutral,0.561998369000321
S054_002_00000013,fear,0.5128627280000728
S054_002_00000014,fear,0.54991205099941
S054_002_00000015,fear,0.5025849659996311
S054_001_00000001,neutral,0.4941542050000862
S054_001_00000018,happy,0.4937377539999943
S054_001_00000019,happy,0.5013133049997123
S054_001_00000020,happy,0.492961072000071
S054_003_00000001,neutral,0.4922473290007474
S054_003_00000005,surprise,0.4899187510000047
S054_003_00000006,surprise,0.49281120500018005
S054_003_00000007,surprise,0.4898942560002979
S080_005_00000001,sad,0.49323694899976545
S080_005_00000011,sad,0.4923556029998508
S080_005_00000012,sad,0.4941800249998778
S080_005_00000013,sad,0.5043902600000365
S080_008_00000001,neutral,0.49723764099962864
S080_008_00000007,disgust,0.5258730420000575
S080_008_00000008,disgust,0.4917592149995471
S080_008_00000009,disgust,0.4930120879998867
S080_004_00000001,sad,0.49278433400013455
S080_004_00000012,happy,0.5129133729997193
S080_004_00000013,happy,0.4927078419996178
S080_004_00000014,happy,0.516420195000137
S080_002_00000001,neutral,0.4913132920000862
S080_002_00000011,happy,0.49358755299999757
S080_002_00000012,happy,0.5124914190000709
S080_002_00000013,happy,0.4925941330002388
S080_001_00000001,sad,0.5137100629999622
S080_001_00000016,fear,0.52245934199982
S080_001_00000017,fear,0.4950810279997313
S080_001_00000018,fear,0.49764019600024767
S080_003_00000001,neutral,0.49351939000007405
S080_003_00000008,neutral,0.5508794520001175
S080_003_00000009,neutral,0.49411292300010246
S080_003_00000010,neutral,0.49338346300010016
S046_005_00000001,neutral,0.48640264200003
S046_005_00000021,happy,0.4898749300000418
S046_005_00000022,happy,0.5284175299993876
S046_005_00000023,happy,0.48954500099989673
S046_004_00000001,neutral,0.4874990289999914
S046_004_00000015,angry,0.4843156220003948
