,Imagem,FEX-esperada,FEX-detectada,Tempo
0,4289,angry,angry,49.88568876299996
1,3246,angry,angry,19.574299717999565
2,4676,angry,angry,2.4959154879998096
3,2893,angry,disgust,2.453096653999637
4,2976,angry,angry,2.630925319999733
5,4403,angry,neutral,2.45378262200029
6,1128,angry,angry,2.5674533399997017
7,4380,angry,happy,2.4277814340002806
8,4229,angry,neutral,2.5426499229997717
9,2540,angry,angry,2.9184861379999347
10,4969,angry,angry,2.5163199200005693
11,1927,angry,angry,2.4220501409999997
12,2014,angry,angry,2.713112434999857
13,8,angry,angry,2.878176486000484
14,650,angry,angry,3.4635382119995484
15,1117,angry,angry,3.455115272000512
16,5067,angry,neutral,2.6813787600003707
17,3882,angry,fear,2.4946898059997693
18,5101,angry,angry,2.4169842410001365
19,4699,angry,angry,2.4137673129998802
20,1627,angry,angry,2.453797246999784
21,3324,angry,surprise,2.4526842229997783
22,929,angry,angry,2.4440363100002287
23,3821,angry,angry,2.4498114569996687
24,4486,angry,angry,2.4153045740004018
25,3818,angry,angry,2.54980506100037
26,1434,angry,angry,2.426575806999608
27,5230,angry,sad,2.565815453000141
28,5096,angry,angry,2.4388828430001013
29,569,angry,angry,2.498967088000427
30,5492,angry,angry,2.4152223629998844
31,3152,angry,angry,2.484757695000553
32,588,angry,angry,2.3908613240000705
33,2438,angry,neutral,2.4085221089999322
34,5219,angry,angry,2.466033853999761
35,423,angry,disgust,2.4306079569996655
36,576,angry,surprise,2.705234398000357
37,3885,angry,angry,2.9883819500000754
38,5107,angry,angry,7.616613776999657
39,1333,angry,angry,12.883680558999913
40,3093,angry,angry,2.6103542119999474
41,1921,angry,disgust,2.432731386999876
42,5356,angry,angry,2.435550350000085
43,967,angry,angry,2.429254525000033
44,3191,angry,angry,2.5605863920000047
45,2593,angry,angry,2.497370957000385
46,3487,angry,angry,2.664157649000117
47,1008,angry,angry,2.4650701769996886
48,3260,angry,sad,2.452082648999749
49,336,angry,angry,2.430093883000154
50,1319,angry,neutral,2.4203785930003505
51,1049,angry,sad,2.4215416019997065
52,2999,angry,neutral,2.5634561430006215
53,5384,angry,angry,2.4354969890000575
54,3858,angry,angry,2.630450380000184
55,2533,angry,neutral,4.738154341999689
56,2830,angry,angry,22.195625264000228
57,61,angry,angry,3.16245739399983
58,1366,angry,angry,2.706149110000297
59,3986,angry,sad,2.47006258699912
60,873,angry,angry,2.468121092999354
