,Imagem,FEX-esperada,FEX-detectada,Tempo
0,1008,angry,angry,0.5223848000000544
1,1020,angry,angry,0.5290967000000819
2,1049,angry,sad,0.4781173999999737
3,1064,angry,disgust,0.536855899999864
4,1094,angry,neutral,0.5057959000000665
5,1097,angry,angry,0.4644256999999925
6,1112,angry,angry,0.5117151000001741
7,1113,angry,neutral,0.5065778000000591
8,1117,angry,angry,0.515104699999938
9,1118,angry,angry,0.5090926000000309
10,1128,angry,angry,0.5034545999999409
11,1133,angry,angry,0.5001830999999584
12,1135,angry,fear,0.5173996999999417
13,120,angry,angry,0.5096951999998964
14,1222,angry,angry,0.5368187000001399
15,1231,angry,neutral,0.49492480000003525
16,1233,angry,angry,0.49018839999985175
17,1236,angry,angry,0.5035815999999613
18,1238,angry,sad,0.4700076999999965
19,1302,angry,disgust,0.556550100000095
20,1319,angry,neutral,0.46578580000004877
21,1328,angry,angry,0.5394573999999466
22,1329,angry,neutral,0.4582035000000815
23,1333,angry,angry,0.47714810000002217
24,1344,angry,angry,0.5527653999999984
25,1345,angry,angry,0.48381019999987984
26,1357,angry,angry,0.7239165000000867
27,1364,angry,angry,0.8420461999999134
28,1366,angry,angry,0.6920508000000609
29,1367,angry,neutral,0.683827699999938
30,137,angry,angry,0.6718548999999712
31,138,angry,angry,0.6159242999999606
32,1404,angry,angry,0.5552624000001742
33,1410,angry,surprise,0.4659013000000414
34,1420,angry,fear,0.5746162999998887
35,1434,angry,angry,0.5414416999999503
36,1435,angry,neutral,0.5489341999998487
37,1440,angry,angry,0.5143719000000146
38,1455,angry,angry,0.4952648000000863
39,1476,angry,surprise,0.469411399999899
40,1481,angry,neutral,0.5398579000000154
41,1485,angry,angry,0.4610035999999127
42,1492,angry,fear,0.5616718999999648
43,1539,angry,angry,0.509332600000107
44,1566,angry,angry,0.4951343000000179
45,1567,angry,neutral,0.47250350000012986
46,1589,angry,sad,0.4912472999999409
47,15,angry,angry,0.5173288000000866
48,1627,angry,angry,0.5189505000000736
49,1628,angry,angry,0.5192208000000846
50,1639,angry,angry,0.4777490999999827
51,1656,angry,disgust,0.5416706999999406
52,1666,angry,surprise,0.5241985000000113
53,1698,angry,angry,0.561871500000052
54,1735,angry,angry,0.4753043999999136
55,1742,angry,angry,0.5568464999998923
56,1756,angry,angry,0.4886353000001691
57,1757,angry,angry,0.46260030000007646
58,1758,angry,angry,0.5151522999999543
59,176,angry,angry,0.5303920999999718
60,1771,angry,sad,0.48911229999998795
61,1782,angry,neutral,0.5353030000001127
62,1783,angry,disgust,0.4984632999999121
63,1800,angry,surprise,0.5415362999999616
64,1802,angry,angry,0.4947538999999779
65,1814,angry,angry,0.4997494000001552
66,1816,angry,neutral,0.566118299999971
67,1860,angry,angry,0.512471000000005
68,1863,angry,neutral,0.48051669999995283
69,1880,angry,disgust,0.4616484999999102
70,1900,angry,angry,0.4889181999999437
71,1917,angry,angry,0.4367440000000897
72,1921,angry,disgust,0.47725310000009813
73,1927,angry,angry,0.4754664000001867
74,1932,angry,angry,0.4951968999998826
75,1934,angry,angry,0.5192090000000462
76,1961,angry,angry,0.4422895000000153
77,199,angry,neutral,0.5152484000000186
78,2001,angry,angry,0.5542356000000837
79,2014,angry,angry,0.5325620999999501
80,2031,angry,angry,0.4458948000001328
81,2034,angry,angry,0.4774637000000439
