name, fex, time
S063_002_00000002, neutral, 20.409298005999972
S063_002_00000007, happy, 2.7122326650001014
S063_002_00000009, happy, 2.527102257000024
S070_005_00000010, neutral, 2.5257375539999884
S070_005_00000009, neutral, 2.531477404999805
S070_005_00000007, neutral, 2.5355166290000852
S070_002_00000002, neutral, 2.5477287019998585
S070_002_00000007, surprise, 2.6522558309998203
S070_002_00000001, neutral, 2.5418948139999884
S070_001_00000012, surprise, 2.5298965359997965
S070_001_00000002, surprise, 2.5415159060003134
S070_001_00000010, surprise, 2.5268927950000943
S070_003_00000008, happy, 2.5250876459999745
S070_003_00000003, surprise, 2.5279352769998695
S070_003_00000001, surprise, 2.5361607770000774
S093_004_00000010, happy, 2.489820127999792
S093_004_00000016, happy, 2.4887230540002747
S093_004_00000011, happy, 2.490769554000053
S093_002_00000008, neutral, 2.490416202000233
S093_002_00000012, sad, 2.4976597209997635
S093_002_00000009, sad, 2.507496702000026
S093_001_00000006, neutral, 2.489005034999991
S093_001_00000018, sad, 2.5014045910002096
S093_001_00000004, neutral, 2.491699738999614
S093_003_00000011, surprise, 2.4972611650000545
S093_003_00000001, neutral, 2.4921350539998457
S093_003_00000003, neutral, 2.505838924999807
S147_002_00000008, surprise, 2.5082587950000743
S147_002_00000009, surprise, 2.5097111459999724
S147_002_00000002, surprise, 2.5171529250001186
S117_001_00000011, surprise, 2.513160980000066
S117_001_00000007, surprise, 2.511209591000352
S117_001_00000006, surprise, 2.5122110729998894
S119_004_00000002, neutral, 2.496097367999937
S119_004_00000008, sad, 2.4956883499999094
S119_004_00000004, neutral, 2.487405127999864
S119_003_00000011, fear, 2.485951035999733
S119_003_00000010, fear, 2.4902455730002657
S119_003_00000017, fear, 2.4988416649998726
S076_005_00000001, neutral, 2.533549256999777
S076_005_00000005, neutral, 2.519403517000228
S076_005_00000003, neutral, 2.5220346650003194
S076_006_00000012, happy, 2.5165073680000205
S076_006_00000018, happy, 2.5179596100001618
S076_006_00000009, happy, 2.5226622390000557
S076_004_00000003, neutral, 2.5392558510002345
S076_004_00000007, neutral, 2.6633909060001315
S076_004_00000001, neutral, 2.5524534060000406
S076_002_00000003, neutral, 2.5406064799999513
S076_002_00000001, neutral, 2.559486979999747
S076_002_00000009, neutral, 2.5580426649999026
S076_001_00000013, surprise, 2.5655788130002293
S076_001_00000014, surprise, 2.574299979999978
S076_001_00000002, neutral, 2.6050873869999123
S076_003_00000013, sad, 2.579358535999745
S076_003_00000010, sad, 2.581964165000045
S076_003_00000006, sad, 2.617286683000202
S064_004_00000003, neutral, 2.6826348690001396
S064_004_00000013, neutral, 2.584666850999838
S064_004_00000006, neutral, 2.6911222769999767
S064_002_00000019, neutral, 2.58040223900025
S064_002_00000023, neutral, 2.5964563130000897
S064_002_00000028, angry, 2.6063219610000488
S064_001_00000010, surprise, 2.5850117949999003
S064_001_00000007, surprise, 2.5965940539999792
S064_001_00000004, neutral, 2.6036076099999264
S064_003_00000014, happy, 2.6065281649998724
S064_003_00000024, happy, 2.6103570539999055
S064_003_00000009, happy, 2.6060365170001205
S005_001_00000007, angry, 2.6392753879999873
S005_001_00000002, angry, 2.6271967770003357
S005_001_00000001, angry, 2.630905961999815
S502_004_00000010, neutral, 2.6192261839996718
S502_004_00000044, fear, 2.636222387000089
S502_004_00000020, sad, 2.6305651650000073
S502_002_00000001, neutral, 2.613434017000145
S502_002_00000003, neutral, 2.628333813000154
S502_002_00000002, neutral, 2.6390830539999115
S502_001_00000011, angry, 2.6265089239996087
S502_001_00000001, neutral, 2.64008075799984
S502_001_00000015, angry, 2.6435154430000694
S074_005_00000007, happy, 2.673089183999764
S074_005_00000015, happy, 2.651526404999913
S074_005_00000040, happy, 2.672159535999981
S074_004_00000014, disgust, 2.676728701999764
S074_004_00000011, disgust, 2.659201165000013
S074_004_00000002, neutral, 2.666698517000441
S074_002_00000004, neutral, 2.6574514250000902
S074_002_00000014, surprise, 2.67575546199987
S074_002_00000011, surprise, 2.6734885730002134
S074_001_00000016, surprise, 2.682665349999752
S074_001_00000003, neutral, 2.670720405999873
S074_001_00000015, surprise, 2.7293771839999863
S074_003_00000003, neutral, 2.6957781830001295
S074_003_00000006, surprise, 2.6836469800000486
S074_003_00000002, surprise, 2.686682682999617
S131_010_00000004, angry, 2.677525738999975
S131_010_00000014, disgust, 2.687343275999865
S131_010_00000010, disgust, 2.677950887999941
S131_004_00000003, neutral, 2.7030138140003146
S131_004_00000002, neutral, 2.7489862759998687
S131_004_00000005, neutral, 2.6811539620002804
S501_006_00000019, sad, 2.6756327020002573
S501_006_00000033, sad, 2.6705988690000595
S501_006_00000025, sad, 2.6797169789997497
S501_004_00000003, neutral, 2.6780644429995846
S501_004_00000020, fear, 2.6755100529999254
S501_004_00000024, fear, 2.746312221000153
S501_001_00000017, angry, 2.6809178680000514
S501_001_00000024, angry, 2.7196092940002927
S501_001_00000060, angry, 2.671216313000059
S029_001_00000014, angry, 2.6543662210001457
S029_001_00000003, angry, 2.652084961000128
S029_001_00000017, angry, 2.660002627999802
S121_005_00000003, neutral, 2.6807189060000383
S121_005_00000012, surprise, 2.696264608999627
S121_005_00000014, surprise, 2.6977909610000097
S121_002_00000016, neutral, 2.67563664599993
S121_002_00000003, neutral, 2.7229347210000014
S121_002_00000008, surprise, 2.674256572000104
S121_001_00000010, neutral, 2.6731232580000324
S121_001_00000008, happy, 2.7299414610001804
S121_001_00000014, neutral, 2.6758194060003007
S113_005_00000005, sad, 2.696252184000059
S113_005_00000004, sad, 2.7222045539997453
S113_005_00000006, sad, 2.764777868999772
S113_008_00000023, angry, 2.6921861089999766
S113_008_00000021, angry, 2.7572505540001657
S113_008_00000019, angry, 2.7946869980000884
S113_006_00000021, neutral, 2.733422184000119
S113_006_00000004, neutral, 2.7222235360000013
S113_006_00000020, neutral, 2.8172387399999934
S113_004_00000007, neutral, 2.7218805540001085
S113_004_00000005, neutral, 2.7205166650001047
S113_004_00000003, neutral, 2.756531461999657
S113_007_00000032, surprise, 2.738071053999647
S113_007_00000042, surprise, 2.7327538690001347
S113_007_00000011, neutral, 2.803512850000061
S113_002_00000007, angry, 2.8187062389997664
S113_002_00000011, angry, 2.7543447019997984
S113_002_00000006, neutral, 2.8167652570000428
S113_001_00000010, surprise, 2.7805621469997277
S113_001_00000009, surprise, 2.867095572999915
S113_001_00000005, neutral, 2.7489772389999416
S113_003_00000007, neutral, 2.7475054619999355
S113_003_00000004, neutral, 2.7609423690000767
S113_003_00000009, neutral, 2.7739653879998514
S504_006_00000005, neutral, 2.6659417569999277
S504_006_00000012, sad, 2.7505138309998074
S504_006_00000007, neutral, 2.7191024990002006
S504_004_00000013, fear, 2.7466031280000607
S504_004_00000002, neutral, 2.6864549609999813
S504_004_00000011, fear, 2.7723626090000835
S504_002_00000001, neutral, 2.720231553999838
S504_002_00000009, neutral, 2.8168468500002746
S504_002_00000006, neutral, 2.730463924000105
S504_001_00000011, disgust, 2.7166419430000133
S504_001_00000021, disgust, 2.7409905909998997
S504_001_00000002, disgust, 2.727426553999976
S087_005_00000003, neutral, 2.8168808689997604
S087_005_00000001, neutral, 2.73296003500036
S087_005_00000006, happy, 2.799841332000142
S087_006_00000011, sad, 2.852810775999842
S087_006_00000006, neutral, 2.8709344789999705
S087_006_00000010, sad, 2.780890201999682
S087_004_00000009, disgust, 2.796349165000265
S087_004_00000010, disgust, 2.7851420350002627
S087_004_00000001, neutral, 2.87813246099995
S087_007_00000012, angry, 2.738977702000284
S087_007_00000002, neutral, 2.7434814059997734
S087_007_00000014, angry, 2.799799645999883
S087_002_00000002, neutral, 2.7587456840001323
S087_002_00000009, sad, 2.708857239000281
S087_002_00000020, sad, 2.773555331999887
S087_001_00000008, surprise, 2.7204352580001796
S087_001_00000006, neutral, 2.6680529979998937
S087_001_00000009, fear, 2.707539999000346
S087_003_00000013, surprise, 2.6896527949998017
S087_003_00000011, surprise, 2.6655662950001897
S087_003_00000006, neutral, 2.72521185100004
S046_005_00000023, happy, 2.6813231280002583
S046_005_00000016, happy, 2.6319970350000403
S046_005_00000005, neutral, 2.6346882019997793
S046_004_00000001, neutral, 2.7235076100000697
S046_004_00000011, angry, 2.6252480910002305
S046_004_00000002, neutral, 2.6655748869998206
S046_002_00000003, neutral, 2.633539515999928
S046_002_00000006, surprise, 2.654399406000266
S046_002_00000002, neutral, 2.6662321470003008
S046_001_00000021, neutral, 2.6782706460003283
S046_001_00000004, neutral, 2.636808535
S046_001_00000013, neutral, 2.7162266649997946
S046_003_00000013, sad, 2.626761591000104
S046_003_00000006, neutral, 2.6681921649997093
S046_003_00000004, neutral, 2.7126435539998965
S100_005_00000022, angry, 2.632347109999955
S100_005_00000014, angry, 2.6898382770000353
S100_005_00000013, angry, 2.676051331999588
S100_006_00000007, happy, 2.6347531840001466
S100_006_00000015, happy, 2.6361704430000827
S100_006_00000012, happy, 2.6401588509997964
S100_004_00000005, neutral, 2.6985122950000004
S100_004_00000001, neutral, 3.3224448129999473
S100_004_00000002, neutral, 2.777205831000174
S100_002_00000004, neutral, 2.844218756999908
S100_002_00000015, surprise, 2.7742809430001216
S100_002_00000012, surprise, 2.904303905999768
S100_001_00000002, neutral, 2.8130971280002086
S100_001_00000010, surprise, 2.7834715539997887
S100_001_00000008, surprise, 2.875798961000328
S100_003_00000001, neutral, 2.755612682999981
S100_003_00000012, neutral, 2.8316250719999516
S100_003_00000006, neutral, 2.7373353319999296
S138_005_00000016, happy, 2.857233868000094
S138_005_00000015, happy, 2.812183831999846
S138_005_00000002, neutral, 2.6980622579999363
S138_008_00000005, neutral, 2.8187621460001537
S138_008_00000007, neutral, 2.8332655539998086
S138_008_00000006, neutral, 2.8383375170001273
S138_006_00000004, neutral, 2.7622857390001627
S138_006_00000009, happy, 2.719866203000038
S138_006_00000002, neutral, 2.8162377020003078
S138_004_00000005, surprise, 2.725720997999815
S138_004_00000010, fear, 2.8974936469999193
S138_004_00000008, fear, 2.7958556280000266
S138_002_00000007, surprise, 2.8983267390003675
S138_002_00000003, neutral, 2.775816832000146
S138_002_00000009, surprise, 2.7898801090000234
S138_001_00000011, fear, 2.781858924000062
S138_001_00000002, neutral, 2.756441719999657
S138_001_00000001, neutral, 2.842640961000143
S138_003_00000005, surprise, 2.947674442999869
S138_003_00000007, surprise, 2.866355201999795
S138_003_00000003, neutral, 2.8120625169999585
S080_005_00000010, sad, 2.7977985170000466
S080_005_00000013, sad, 2.8892779799998607
S080_005_00000004, sad, 2.8446751840001525
S080_008_00000002, neutral, 2.8938418319999073
S080_008_00000008, disgust, 2.943760590000238
S080_008_00000001, neutral, 2.827966535000087
S080_004_00000005, neutral, 2.8503733499996997
S080_004_00000004, sad, 2.790597442000035
